Farmer,Record_ID_system_date,Record_ID_system_time,AIR_HUMIDITY,AIR_TEMPERATURE,CARBON_DIOXIDE,EVENT,LIGHT_INTENSITY,SHIELD_BATTERY_LEVEL,SHIELD_FW_VERSION,SHIELD_ID,SOIL_MOISTURE,SOIL_NITROGEN,SOIL_PHOSPHOROUS,SOIL_POTASSIUM,SOIL_TEMPERATURE,SPEAR_BATTERY_LEVEL,SPEAR_DATA,SPEAR_FW_VERSION,SPEAR_ID,STORE_TIMESTAMP_DATE,Store_timestamp_time,VALVE_POSITION,WATER_DISPENSED
TrayOne2,11/07/2023,13:15:01,322,305,655,95,52,95.1450882,0.82.69,0102030405060708090a640a,1179,3,120,111,31,4212,010c0102030405060708090000021f030000030e0274100c02340004029b040a021f0008048f0200003e,0.0.3,1.02E+22,11/07/2023,15:59:07,0,0
TrayOne3,11/07/2023,13:15:02,327,313,310,95,40,96.6796875,0.82.69,0102030405060708090a640b,619,0,0,0,30,4200,010c0102030405060708090000011f030000030e02681004026b0205024701090239010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,15:48:21,0,0
TrayOne,11/07/2023,14:15:00,339,312,0,95,44,96.0658493,0.82.69,0102030405060708090a6407,623,0,0,0,31,4198,010c0102030405060708090000011f030000030e02661004026f0205025301090238010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,16:30:55,0,0
TrayOne2,11/07/2023,14:15:00,356,308,727,95,8,94.99163055,0.82.69,0102030405060708090a640a,1210,44,218,198,32,4212,010c0102030405060708090000021f030000030e0274100c0208000402ba040a0220000804d70200003e,0.0.3,1.02E+22,11/07/2023,16:59:08,0,0
TrayOne3,11/07/2023,14:15:01,369,305,308,95,40,96.6796875,0.82.69,0102030405060708090a640b,556,0,0,0,30,4192,010c0102030405060708090000011f030000030e02601004022c0205027101090231010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,16:48:20,0,0
TrayOne,11/07/2023,15:15:01,357,307,0,95,4,95.1450882,0.82.69,0102030405060708090a6407,443,0,0,0,31,4185,010c0102030405060708090000021f030000030e0259100c0204000402bb010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,17:39:05,0,0
TrayOne2,11/07/2023,15:15:01,365,306,693,95,0,95.91239166,0.82.69,0102030405060708090a640a,1226,16,118,109,31,4216,010c0102030405060708090000021f030000030e0278100c0200000402ca040a021f000804b50200003e,0.0.3,1.02E+22,11/07/2023,17:59:09,0,0
TrayOne3,11/07/2023,15:15:02,358,316,332,95,0,96.6796875,0.82.69,0102030405060708090a640b,475,0,0,0,30,4198,010c0102030405060708090000011f030000030e0266100402db010502660109023c010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,17:48:18,0,0
TrayOne,11/07/2023,16:15:01,346,314,0,95,0,99.28850555,0.82.69,0102030405060708090a6407,453,0,0,0,31,4200,010c0102030405060708090000021f030000030e0268100c0200000402c5010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,18:39:05,0,0
TrayOne2,11/07/2023,16:15:01,363,307,645,95,0,96.0658493,0.82.69,0102030405060708090a640a,1218,36,138,126,31,4214,010c0102030405060708090000021f030000030e0276100c0200000402c2040a021f000804850200003e,0.0.3,1.02E+22,11/07/2023,18:59:09,0,0
TrayOne3,11/07/2023,16:15:01,367,309,318,95,0,96.6796875,0.82.69,0102030405060708090a640b,641,0,0,0,30,4204,010c0102030405060708090000011f030000030e026c100402810205026f01090235010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,18:48:17,0,0
TrayOne,11/07/2023,17:15:00,354,305,0,95,0,92.84319305,0.82.69,0102030405060708090a6407,443,0,0,0,30,4030,010c0102030405060708090000021f030000030e02be0f0c0200000402bb010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,19:39:05,0,0
TrayOne2,11/07/2023,17:15:00,366,305,717,95,0,94.07086945,0.82.69,0102030405060708090a640a,1199,81,129,118,32,4032,010c0102030405060708090000021f030000030e02c00f0c0200000402af040a0220000804cd0200003e,0.0.3,1.02E+22,11/07/2023,19:59:12,0,0
TrayOne3,11/07/2023,17:15:01,359,314,327,95,0,94.37779236,0.82.69,0102030405060708090a640b,631,0,0,0,30,4137,010c0102030405060708090000011f030000030e022910040277020502670109023a010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,19:48:16,0,0
TrayOne,11/07/2023,18:15:00,342,314,0,95,0,92.07588959,0.82.69,0102030405060708090a6407,453,0,0,0,31,4016,010c0102030405060708090000021f030000030e02b00f0c0200000402c5010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,20:39:07,0,0
TrayOne2,11/07/2023,18:15:01,354,315,681,95,0,93.45703125,0.82.69,0102030405060708090a640a,1198,57,71,63,32,4024,010c0102030405060708090000021f030000030e02b80f0c0200000402ae040a0220000804a90200003e,0.0.3,1.02E+22,11/07/2023,20:59:13,0,0
TrayOne3,11/07/2023,18:15:01,369,302,348,95,0,93.9174118,0.82.69,0102030405060708090a640b,394,0,0,0,30,4108,010c0102030405060708090000011f030000030e020c1004028a010502710109022e010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,20:48:18,0,0
TrayOne,11/07/2023,19:15:01,350,303,0,95,0,91.30859375,0.82.69,0102030405060708090a6407,430,0,0,0,31,4013,010c0102030405060708090000021f030000030e02ad0f0c0200000402ae010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,21:39:08,0,0
TrayOne2,11/07/2023,19:15:01,357,304,685,95,0,92.9966507,0.82.69,0102030405060708090a640a,1179,170,155,140,32,4005,010c0102030405060708090000021f030000030e02a50f0c02000004029b040a0220000804ad0200003e,0.0.3,1.02E+22,11/07/2023,21:59:16,0,0
TrayOne3,11/07/2023,19:15:02,351,313,322,95,0,93.30357361,0.82.69,0102030405060708090a640b,623,0,0,0,30,4092,010c0102030405060708090000011f030000030e02fc0f04026f0205025f01090239010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,21:51:17,0,0
TrayOne,11/07/2023,20:15:01,340,309,0,95,0,90.8482132,0.82.69,0102030405060708090a6407,443,0,0,0,30,4005,010c0102030405060708090000021f030000030e02a50f0c0200000402bb010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,22:39:10,0,0
TrayOne2,11/07/2023,20:15:01,347,313,694,95,0,92.22935486,0.82.69,0102030405060708090a640a,1208,123,55,51,32,4006,010c0102030405060708090000021f030000030e02a60f0c0200000402b8040a0220000804b60200003e,0.0.3,1.02E+22,11/07/2023,22:59:17,0,0
TrayOne3,11/07/2023,20:15:01,362,304,306,95,0,92.53627014,0.82.69,0102030405060708090a640b,346,0,0,0,30,4075,010c0102030405060708090000011f030000030e02eb0f04025a0105026a01090230010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,22:48:18,0,0
TrayOne,11/07/2023,21:15:00,346,309,0,95,0,91.00167847,0.82.69,0102030405060708090a6407,443,0,0,0,31,4001,010c0102030405060708090000021f030000030e02a10f0c0200000402bb010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,23:39:12,0,0
TrayOne2,11/07/2023,21:15:01,356,311,735,95,0,90.8482132,0.82.69,0102030405060708090a640a,1195,136,56,51,33,3995,010c0102030405060708090000021f030000030e029b0f0c0200000402ab040a0221000804df0200003e,0.0.3,1.02E+22,11/07/2023,23:59:20,0,0
TrayOne3,11/07/2023,21:15:01,360,308,316,95,0,92.53627014,0.82.69,0102030405060708090a640b,608,0,0,0,30,4059,010c0102030405060708090000011f030000030e02db0f0402600205026801090234010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,23:48:18,0,0
TrayOne,11/07/2023,22:15:00,359,301,0,95,0,90.234375,0.82.69,0102030405060708090a6407,444,0,0,0,30,4001,010c0102030405060708090000021f030000030e02a10f0c0200000402bc010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,00:39:13,0,0
TrayOne2,11/07/2023,22:15:00,353,315,710,95,0,90.234375,0.82.69,0102030405060708090a640a,1226,137,73,69,33,3972,010c0102030405060708090000021f030000030e02840f0c0200000402ca040a0221000804c60200003e,0.0.3,1.02E+22,11/07/2023,00:59:21,0,0
TrayOne3,11/07/2023,22:15:01,352,319,316,95,0,91.46205902,0.82.69,0102030405060708090a640b,437,0,0,0,30,4045,010c0102030405060708090000011f030000030e02cd0f0402b5010502600109023f010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,00:48:19,0,0
TrayOne,11/07/2023,23:15:01,367,302,0,95,0,88.54631805,0.82.69,0102030405060708090a6407,445,0,0,0,30,3987,010c0102030405060708090000021f030000030e02930f0c0200000402bd010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,01:39:15,0,0
TrayOne2,11/07/2023,23:15:01,374,306,725,95,0,89.77399445,0.82.69,0102030405060708090a640a,1210,186,56,51,32,3971,010c0102030405060708090000021f030000030e02830f0c0200000402ba040a0220000804d50200003e,0.0.3,1.02E+22,11/07/2023,01:59:24,0,0
TrayOne3,11/07/2023,23:15:02,367,314,353,95,0,90.8482132,0.82.69,0102030405060708090a640b,670,0,0,0,30,4027,010c0102030405060708090000011f030000030e02bb0f04029e0205026f0109023a010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,01:48:20,0,0
TrayOne,12/07/2023,00:15:01,367,308,0,95,0,87.77901459,0.82.69,0102030405060708090a6407,438,0,0,0,30,3980,010c0102030405060708090000021f030000030e028c0f0c0200000402b6010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,02:39:16,0,0
TrayOne2,12/07/2023,00:15:01,377,310,665,95,0,88.0859375,0.82.69,0102030405060708090a640a,1181,136,55,50,32,3963,010c0102030405060708090000021f030000030e027b0f0c02000004029d040a0220000804990200003e,0.0.3,1.02E+22,11/07/2023,02:59:28,0,0
TrayOne3,12/07/2023,00:15:02,389,302,311,95,0,90.234375,0.82.69,0102030405060708090a640b,405,0,0,0,30,4022,010c0102030405060708090000011f030000030e02b60f040295010502850109022e010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,02:48:21,0,0
TrayOne,12/07/2023,01:15:00,379,303,0,95,0,86.24441528,0.82.69,0102030405060708090a6407,439,0,0,0,30,3969,010c0102030405060708090000021f030000030e02810f0c0200000402b7010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,03:39:18,0,0
TrayOne2,12/07/2023,01:15:01,386,305,732,95,0,87.31863403,0.82.69,0102030405060708090a640a,1173,135,56,51,32,3942,010c0102030405060708090000021f030000030e02660f0c020000040295040a0220000804dc0200003e,0.0.3,1.02E+22,12/07/2023,03:59:31,0,0
TrayOne3,12/07/2023,01:15:01,376,314,345,95,0,89.6205368,0.82.69,0102030405060708090a640b,413,0,0,0,30,4017,010c0102030405060708090000011f030000030e02b10f04029d010502780109023a010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,03:48:21,0,0
TrayOne,12/07/2023,02:15:00,372,310,0,95,0,85.63058472,0.82.69,0102030405060708090a6407,445,0,0,0,30,3961,010c0102030405060708090000021f030000030e02790f0c0200000402bd010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,04:39:19,0,0
TrayOne2,12/07/2023,02:15:01,381,311,686,95,0,86.70479584,0.82.69,0102030405060708090a640a,1173,136,55,51,32,3940,010c0102030405060708090000021f030000030e02640f0c020000040295040a0220000804ae0200003e,0.0.3,1.02E+22,12/07/2023,04:59:33,0,0
TrayOne3,12/07/2023,02:15:01,397,299,332,95,0,89.00669861,0.82.69,0102030405060708090a640b,561,0,0,0,29,3998,010c0102030405060708090000011f030000030e029e0f0402310205028d0109022b010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,04:48:21,0,0
TrayOne,12/07/2023,03:15:01,393,297,0,95,0,85.17020416,0.82.69,0102030405060708090a6407,450,0,0,0,30,3958,010c0102030405060708090000021f030000030e02760f0c0200000402c2010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,05:39:21,0,0
TrayOne2,12/07/2023,03:15:01,397,300,738,95,0,86.09096527,0.82.69,0102030405060708090a640a,1175,136,56,52,32,3916,010c0102030405060708090000021f030000030e024c0f0c020000040297040a0220000804e20200003e,0.0.3,1.02E+22,12/07/2023,05:59:35,0,0
TrayOne3,12/07/2023,03:15:01,384,310,342,95,0,88.39286041,0.82.69,0102030405060708090a640b,384,0,0,0,30,3992,010c0102030405060708090000011f030000030e02980f0402800105028001090236010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,05:48:23,0,0
TrayOne,12/07/2023,04:15:01,376,308,0,95,0,84.70982361,0.82.69,0102030405060708090a6407,440,0,0,0,30,3943,010c0102030405060708090000021f030000030e02670f0c0200000402b8010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,06:39:22,0,0
TrayOne2,12/07/2023,04:15:01,385,309,711,95,0,89.16015625,0.82.69,0102030405060708090a640a,1195,138,66,61,32,4103,010c0102030405060708090000021f030000030e0207100c0200000402ab040a0220000804c70200003e,0.0.3,1.02E+22,12/07/2023,06:59:38,0,0
TrayOne3,12/07/2023,04:15:01,401,298,363,95,0,87.93247986,0.82.69,0102030405060708090a640b,404,0,0,0,29,3984,010c0102030405060708090000011f030000030e02900f040294010502910109022a010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,06:48:23,0,0
TrayOne,12/07/2023,05:15:00,387,301,0,95,12,100.5161819,0.82.69,0102030405060708090a6407,439,0,0,0,30,4142,010c0102030405060708090000021f030000030e022e100c020c000402b7010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,07:39:22,0,0
TrayOne2,12/07/2023,05:15:01,397,300,667,95,16,90.8482132,0.82.69,0102030405060708090a640a,1171,161,62,58,32,4130,010c0102030405060708090000021f030000030e0222100c021000040293040a02200008049b0200003e,0.0.3,1.02E+22,12/07/2023,07:59:40,0,0
TrayOne3,12/07/2023,05:15:01,393,306,366,95,4,94.53125,0.82.69,0102030405060708090a640b,370,0,0,0,29,4072,010c0102030405060708090000011f030000030e02e80f0402720105028901090232010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,07:48:22,0,0
TrayOne,12/07/2023,06:15:00,387,305,0,95,20,97.44698334,0.82.69,0102030405060708090a6407,437,0,0,0,30,4154,010c0102030405060708090000021f030000030e023a100c0214000402b5010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,08:39:23,0,0
TrayOne2,12/07/2023,06:15:00,398,302,666,95,24,93.61048889,0.82.69,0102030405060708090a640a,1145,161,57,53,32,4150,010c0102030405060708090000021f030000030e0236100c021800040279040a02200008049a0200003e,0.0.3,1.02E+22,12/07/2023,08:59:41,0,0
TrayOne3,12/07/2023,06:15:01,400,303,342,95,8,95.75892639,0.82.69,0102030405060708090a640b,573,0,0,0,30,4092,010c0102030405060708090000011f030000030e02fc0f04023d020502900109022f010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,08:48:19,0,0
TrayOne,12/07/2023,07:15:01,375,310,0,95,40,100.5161819,0.82.69,0102030405060708090a6407,450,0,0,0,31,4151,010c0102030405060708090000021f030000030e0237100c0228000402c2010a021f000804000000003e,0.0.3,1.02E+22,12/07/2023,09:39:21,0,0
TrayOne2,12/07/2023,07:15:01,408,302,712,95,52,95.29855347,0.82.69,0102030405060708090a640a,1184,145,52,48,32,4166,010c0102030405060708090000021f030000030e0246100c0234000402a0040a0220000804c80200003e,0.0.3,1.02E+22,12/07/2023,09:59:41,0,0
TrayOne3,12/07/2023,07:15:01,383,310,310,95,44,96.21931458,0.82.69,0102030405060708090a640b,637,0,0,0,30,4108,010c0102030405060708090000011f030000030e020c1004027d0205027f01090236010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,09:48:18,0,0
TrayOne,12/07/2023,08:15:01,368,300,0,95,44,100.5161819,0.82.69,0102030405060708090a6407,461,0,0,0,30,4180,010c0102030405060708090000021f030000030e0254100c022c000402cd010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,10:39:21,0,0
TrayOne2,12/07/2023,08:15:01,378,303,678,95,48,95.91239166,0.82.69,0102030405060708090a640a,1152,128,52,47,32,4174,010c0102030405060708090000021f030000030e024e100c023000040280040a0220000804a60200003e,0.0.3,1.02E+22,12/07/2023,10:59:41,0,0
TrayOne3,12/07/2023,08:15:02,368,310,346,95,44,96.52622223,0.82.69,0102030405060708090a640b,617,0,0,0,30,4132,010c0102030405060708090000011f030000030e0224100402690205027001090236010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,11:07:26,0,0
TrayOne,12/07/2023,09:15:00,361,303,0,95,44,96.83315277,0.82.69,0102030405060708090a6407,463,0,0,0,30,4195,010c0102030405060708090000021f030000030e0263100c022c000402cf010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,11:39:22,0,0
TrayOne2,12/07/2023,09:15:01,371,304,662,95,44,95.45201111,0.82.69,0102030405060708090a640a,1172,127,51,47,32,4196,010c0102030405060708090000021f030000030e0264100c022c00040294040a0220000804960200003e,0.0.3,1.02E+22,12/07/2023,11:59:43,0,0
TrayOne3,12/07/2023,09:15:01,368,308,313,95,44,96.37276459,0.82.69,0102030405060708090a640b,622,0,0,0,30,4148,010c0102030405060708090000011f030000030e02341004026e0205027001090234010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,11:48:13,0,0
TrayOne,12/07/2023,10:15:01,347,311,0,95,52,98.36774445,0.82.69,0102030405060708090a6407,456,0,0,0,30,4198,010c0102030405060708090000021f030000030e0266100c0234000402c8010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,12:39:22,0,0
TrayOne2,12/07/2023,10:15:01,362,305,697,95,44,95.60546112,0.82.69,0102030405060708090a640a,1179,126,50,46,32,4193,010c0102030405060708090000021f030000030e0261100c022c0004029b040a0220000804b90200003e,0.0.3,1.02E+22,12/07/2023,12:59:49,0,0
TrayOne3,12/07/2023,10:15:02,374,301,287,95,48,96.52622223,0.82.69,0102030405060708090a640b,693,0,0,0,30,4174,010c0102030405060708090000011f030000030e024e100402b5020502760109022d010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,12:48:11,0,0
TrayOne,12/07/2023,11:15:01,359,307,0,95,52,96.52622223,0.82.69,0102030405060708090a6407,466,0,0,0,31,4198,010c0102030405060708090000021f030000030e0266100c0234000402d2010a021f000804000000003e,0.0.3,1.02E+22,12/07/2023,13:39:23,0,0
TrayOne2,12/07/2023,11:15:01,359,310,691,95,56,96.0658493,0.82.69,0102030405060708090a640a,1160,123,48,44,32,4204,010c0102030405060708090000021f030000030e026c100c023800040288040a0220000804b30200003e,0.0.3,1.02E+22,12/07/2023,13:59:44,0,0
TrayOne3,12/07/2023,11:15:01,375,304,332,95,48,96.52622223,0.82.69,0102030405060708090a640b,387,0,0,0,30,4193,010c0102030405060708090000011f030000030e0261100402830105027701090230010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,13:48:10,0,0
TrayOne,12/07/2023,12:15:00,347,306,0,95,52,100.5161819,0.82.69,0102030405060708090a6407,443,0,0,0,31,4188,010c0102030405060708090000021f030000030e025c100c0234000402bb010a021f000804000000003e,0.0.3,1.02E+22,12/07/2023,14:39:22,0,0
TrayOne2,12/07/2023,12:15:00,369,304,731,95,52,96.0658493,0.82.69,0102030405060708090a640a,5,119,49,45,32,4209,010c0102030405060708090000021f030000030e0271100c023400040205000a0220000804db0200003e,0.0.3,1.02E+22,12/07/2023,14:59:50,0,0
TrayOne3,12/07/2023,12:15:01,355,311,331,95,52,96.6796875,0.82.69,0102030405060708090a640b,613,0,0,0,30,4203,010c0102030405060708090000011f030000030e026b100402650205026301090237010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,14:48:08,0,0
TrayOne,12/07/2023,13:15:01,339,312,0,95,36,96.37276459,0.82.69,0102030405060708090a6407,440,0,0,0,30,4196,010c0102030405060708090000021f030000030e0264100c0224000402b8010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,15:39:22,0,0
TrayOne2,12/07/2023,13:15:01,357,306,710,95,40,96.0658493,0.82.69,0102030405060708090a640a,8,120,52,47,32,4211,010c0102030405060708090000021f030000030e0273100c022800040208000a0220000804c60200003e,0.0.3,1.02E+22,12/07/2023,15:59:47,0,0
TrayOne3,12/07/2023,13:15:02,364,305,301,95,44,96.6796875,0.82.69,0102030405060708090a640b,326,0,0,0,30,4193,010c0102030405060708090000011f030000030e0261100402460105026c01090231010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,15:48:07,0,0
TrayOne,12/07/2023,14:15:01,331,319,0,95,28,99.4419632,0.82.69,0102030405060708090a6407,452,0,0,0,30,4200,010c0102030405060708090000021f030000030e0268100c021c000402c4010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,16:39:21,0,0
TrayOne2,12/07/2023,14:15:01,350,314,712,95,12,95.45201111,0.82.69,0102030405060708090a640a,783,127,45,41,32,4211,010c0102030405060708090000021f030000030e0273100c020c0004020f030a0220000804c80200003e,0.0.3,1.02E+22,12/07/2023,16:59:48,0,0
TrayOne3,12/07/2023,14:15:01,352,315,321,95,40,96.6796875,0.82.69,0102030405060708090a640b,630,0,0,0,30,4203,010c0102030405060708090000011f030000030e026b10040276020502600109023b010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,16:48:05,0,0
TrayOne,12/07/2023,15:15:00,344,312,0,95,0,100.3627243,0.82.69,0102030405060708090a6407,455,0,0,0,30,4208,010c0102030405060708090000021f030000030e0270100c0200000402c7010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,17:39:21,0,0
TrayOne2,12/07/2023,15:15:01,348,314,684,95,4,95.75892639,0.82.69,0102030405060708090a640a,866,110,46,42,32,4214,010c0102030405060708090000021f030000030e0276100c020400040262030a0220000804ac0200003e,0.0.3,1.02E+22,12/07/2023,17:59:49,0,0
TrayOne3,12/07/2023,15:15:02,369,302,310,95,0,96.6796875,0.82.69,0102030405060708090a640b,656,0,0,0,30,4206,010c0102030405060708090000011f030000030e026e10040290020502710109022e010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,17:48:04,0,0
TrayOne,12/07/2023,16:15:00,356,303,0,95,0,100.209259,0.82.69,0102030405060708090a6407,450,0,0,0,30,4200,010c0102030405060708090000021f030000030e0268100c0200000402c2010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,18:39:21,0,0
TrayOne2,12/07/2023,16:15:01,363,307,720,95,0,95.45201111,0.82.69,0102030405060708090a640a,563,114,51,46,33,4211,010c0102030405060708090000021f030000030e0273100c020000040233020a0221000804d00200003e,0.0.3,1.02E+22,12/07/2023,18:59:50,0,0
TrayOne3,12/07/2023,16:15:01,370,303,307,95,0,96.6796875,0.82.69,0102030405060708090a640b,699,0,0,0,30,4179,010c0102030405060708090000011f030000030e0253100402bb020502720109022f010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,18:48:03,0,0
TrayOne,12/07/2023,17:15:01,356,306,0,95,0,92.84319305,0.82.69,0102030405060708090a6407,452,0,0,0,30,4056,010c0102030405060708090000021f030000030e02d80f0c0200000402c4010a021e000804000000003e,0.0.3,1.02E+22,12/07/2023,19:39:22,0,0
TrayOne2,12/07/2023,17:15:01,356,311,742,95,0,93.15010834,0.82.69,0102030405060708090a640a,149,125,48,44,32,4038,010c0102030405060708090000021f030000030e02c60f0c020000040295000a0220000804e60200003e,0.0.3,1.02E+22,12/07/2023,19:59:53,0,0
TrayOne3,12/07/2023,17:15:02,365,310,312,95,0,94.22432709,0.82.69,0102030405060708090a640b,631,0,0,0,30,4137,010c0102030405060708090000011f030000030e0229100402770205026d01090236010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,19:48:04,0,0
TrayOne,12/07/2023,18:15:01,360,302,0,95,0,92.3828125,0.82.69,0102030405060708090a6407,439,0,0,0,31,4056,010c0102030405060708090000021f030000030e02d80f0c0200000402b7010a021f000804000000003e,0.0.3,1.02E+22,12/07/2023,20:39:22,0,0
TrayOne2,12/07/2023,18:15:01,369,306,742,95,0,92.53627014,0.82.69,0102030405060708090a640a,693,118,51,47,32,3887,010c0102030405060708090a0b011f030000030e022f0f0402b50205027101090232010b0276001d0233001c022f003e,0.0.3,0102030405060708090a0b01,12/07/2023,20:43:13,0,0
TrayOne3,12/07/2023,18:15:01,364,312,328,95,0,93.61048889,0.82.69,0102030405060708090a640b,663,0,0,0,31,4122,010c0102030405060708090000011f030000030e021a100402970205026c01090238010b0200001d0200001c0200003e,0.0.3,1.02E+22,12/07/2023,20:48:03,0,0
